 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,Segmentation:c:1/5 z:28/55 - Series003,156.22,51.71,27.91,0.44,2.30,0.43,0.91
2,Segmentation:c:1/5 z:28/55 - Series003,124.18,79.71,34.80,0.42,1.89,0.53,0.91
3,Segmentation:c:1/5 z:28/55 - Series003,111.10,37.62,37.84,0.48,1.67,0.60,0.92
4,Segmentation:c:1/5 z:28/55 - Series003,50.67,84.32,49.72,0.33,1.25,0.80,0.86
5,Segmentation:c:1/5 z:28/55 - Series003,73.98,29.93,55.86,0.69,1.34,0.75,0.93
6,Segmentation:c:1/5 z:28/55 - Series003,60.64,82.72,58.97,0.51,1.38,0.73,0.92
7,Segmentation:c:1/5 z:28/55 - Series003,94.48,31.15,66.41,0.66,1.11,0.90,0.93
8,Segmentation:c:1/5 z:28/55 - Series003,68.55,81.15,66.48,0.46,1.15,0.87,0.89
9,Segmentation:c:1/5 z:28/55 - Series003,90.33,71.19,76.64,0.46,1.43,0.70,0.88
10,Segmentation:c:1/5 z:28/55 - Series003,60.46,33.03,75.57,0.57,1.02,0.98,0.88
11,Segmentation:c:1/5 z:28/55 - Series003,98.03,41.33,78.96,0.48,1.11,0.90,0.91
