 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,Segmentation:c:1/5 z:36/72 - Series001,100.28,86.92,54.44,0.51,1.05,0.96,0.90
2,Segmentation:c:1/5 z:36/72 - Series001,135.74,74.45,57.25,0.50,1.27,0.79,0.91
3,Segmentation:c:1/5 z:36/72 - Series001,81.08,95.89,57.99,0.57,1.28,0.78,0.89
4,Segmentation:c:1/5 z:36/72 - Series001,70.38,105.24,59.74,0.49,1.25,0.80,0.89
5,Segmentation:c:1/5 z:36/72 - Series001,127.14,113.09,64.81,0.61,1.28,0.78,0.91
6,Segmentation:c:1/5 z:36/72 - Series001,91.58,58.11,67.16,0.63,1.16,0.86,0.90
7,Segmentation:c:1/5 z:36/72 - Series001,140.35,122.89,74.37,0.51,1.10,0.91,0.92
8,Segmentation:c:1/5 z:36/72 - Series001,107.59,49.71,76.41,0.58,1.12,0.90,0.91
9,Segmentation:c:1/5 z:36/72 - Series001,89.68,42.98,90.04,0.50,1.54,0.65,0.86
10,Segmentation:c:1/5 z:36/72 - Series001,58.27,118.35,87.19,0.49,2.28,0.44,0.86
11,Segmentation:c:1/5 z:36/72 - Series001,100.76,119.84,97.89,0.47,1.44,0.70,0.85
12,Segmentation:c:1/5 z:36/72 - Series001,77.41,45.63,103.11,0.68,1.42,0.70,0.91
13,Segmentation:c:1/5 z:36/72 - Series001,55.08,111.20,104.29,0.36,1.34,0.75,0.81
14,Segmentation:c:1/5 z:36/72 - Series001,83.30,50.06,109.74,0.65,1.42,0.70,0.92
15,Segmentation:c:1/5 z:36/72 - Series001,81.63,100.47,113.74,0.51,1.07,0.94,0.89
16,Segmentation:c:1/5 z:36/72 - Series001,90.64,113.59,114.46,0.61,1.17,0.85,0.91
17,Segmentation:c:1/5 z:36/72 - Series001,63.78,55.86,115.86,0.70,1.29,0.77,0.89
18,Segmentation:c:1/5 z:36/72 - Series001,133.97,65.57,118.57,0.74,1.28,0.78,0.93
19,Segmentation:c:1/5 z:36/72 - Series001,76.99,85.10,121.68,0.55,1.26,0.79,0.88
20,Segmentation:c:1/5 z:36/72 - Series001,95.70,72.53,124.30,0.56,1.75,0.57,0.89
21,Segmentation:c:1/5 z:36/72 - Series001,92.29,93.69,123.70,0.61,1.14,0.88,0.91
22,Segmentation:c:1/5 z:36/72 - Series001,61.46,80.16,127.52,0.67,1.22,0.82,0.92
23,Segmentation:c:1/5 z:36/72 - Series001,67.16,101.77,127.02,0.74,1.23,0.81,0.91
