 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,141.82,66.88,17.85,0.66,1.46,0.69,0.95
2,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,92.75,46.00,18.88,0.69,1.88,0.53,0.94
3,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,109.21,37.08,25.86,0.78,1.28,0.78,0.96
4,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,66.25,80.18,25.41,0.41,1.17,0.85,0.90
5,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,108.37,88.48,35.43,0.79,1.11,0.90,0.96
6,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,56.81,29.93,40.94,0.49,1.21,0.82,0.90
7,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,48.32,90.78,46.65,0.47,1.31,0.76,0.89
8,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,102.06,27.67,53.41,0.73,1.25,0.80,0.94
9,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,56.12,86.97,52.31,0.33,1.75,0.57,0.87
10,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,114.02,34.61,61.94,0.66,1.08,0.92,0.93
11,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,79.38,89.66,59.90,0.68,1.73,0.58,0.95
12,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,61.64,84.29,71.01,0.45,1.33,0.75,0.89
13,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,50.72,38.84,70.30,0.51,1.32,0.76,0.90
14,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,51.09,76.15,73.20,0.68,1.20,0.84,0.94
15,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,84.57,43.63,78.31,0.49,1.31,0.76,0.89
16,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,87.39,69.01,79.72,0.63,1.46,0.68,0.92
17,MASK_SHEF6N2_D2N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series004:c:5/5 z:38/85 - Series004,88.65,52.51,80.91,0.54,1.30,0.77,0.90
