 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,85.80,154.70,83.64,0.44,1.28,0.78,0.88
2,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,46.43,180.83,86.75,0.43,1.13,0.88,0.82
3,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,46.78,191.90,89.09,0.44,1.82,0.55,0.85
4,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,148.50,170.15,97.94,0.42,1.11,0.90,0.88
5,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,107.01,157.57,98.33,0.55,1.47,0.68,0.92
6,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,51.35,180.26,101.31,0.45,1.28,0.78,0.86
7,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,50.02,151.13,102.82,0.56,1.50,0.67,0.87
8,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,37.12,133.73,104.05,0.33,1.31,0.76,0.79
9,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,31.35,198.46,104.07,0.60,1.30,0.77,0.86
10,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,139.15,187.07,112.03,0.37,1.39,0.72,0.86
11,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,73.25,196.49,110.98,0.46,1.24,0.81,0.88
12,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,68.97,154.37,109.26,0.58,1.34,0.74,0.88
13,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:64/128 - Series001,50.37,151.65,115.35,0.46,1.58,0.63,0.84
