 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,58.61,173.00,77.20,0.64,1.17,0.86,0.91
2,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,106.50,182.79,84.37,0.63,1.57,0.64,0.92
3,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,77.75,159.00,84.83,0.31,1.15,0.87,0.79
4,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,87.26,146.24,88.16,0.64,1.65,0.61,0.92
5,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,62.79,192.85,87.96,0.34,1.87,0.54,0.81
6,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,136.90,171.99,97.03,0.49,1.22,0.82,0.90
7,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,77.18,196.38,100.23,0.37,1.22,0.82,0.85
8,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,44.25,150.18,102.47,0.53,1.15,0.87,0.85
9,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,32.01,153.42,106.93,0.58,1.41,0.71,0.85
10,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,107.45,140.50,110.73,0.52,1.31,0.77,0.88
11,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,144.47,186.52,110.69,0.34,1.11,0.90,0.86
12,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,103.58,151.50,115.40,0.46,1.44,0.70,0.88
13,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,56.48,198.02,113.71,0.31,1.22,0.82,0.79
14,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,63.33,128.53,120.88,0.42,1.59,0.63,0.80
15,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,78.32,139.50,123.46,0.39,1.11,0.90,0.84
16,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:71/128 - Series001,53.50,198.67,128.50,0.24,1.45,0.69,0.73
