X,Y,Value
359,295,255
360,295,255
361,295,255
362,295,255
363,295,255
364,295,255
384,295,255
385,295,255
386,295,255
387,295,255
388,295,255
359,296,255
364,296,255
383,296,255
384,296,255
388,296,255
358,297,255
359,297,255
364,297,255
369,297,255
370,297,255
371,297,255
372,297,255
373,297,255
374,297,255
375,297,255
376,297,255
377,297,255
378,297,255
379,297,255
380,297,255
383,297,255
388,297,255
389,297,255
390,297,255
358,298,255
364,298,255
365,298,255
366,298,255
367,298,255
368,298,255
369,298,255
380,298,255
381,298,255
382,298,255
383,298,255
390,298,255
391,298,255
392,298,255
393,298,255
341,299,255
342,299,255
343,299,255
344,299,255
345,299,255
346,299,255
347,299,255
348,299,255
349,299,255
350,299,255
351,299,255
352,299,255
353,299,255
354,299,255
355,299,255
356,299,255
357,299,255
358,299,255
393,299,255
336,300,255
337,300,255
338,300,255
339,300,255
340,300,255
341,300,255
393,300,255
397,300,255
398,300,255
399,300,255
400,300,255
401,300,255
402,300,255
403,300,255
404,300,255
405,300,255
406,300,255
407,300,255
408,300,255
409,300,255
410,300,255
411,300,255
412,300,255
413,300,255
335,301,255
336,301,255
393,301,255
397,301,255
408,301,255
409,301,255
413,301,255
536,301,255
537,301,255
538,301,255
539,301,255
540,301,255
327,302,255
328,302,255
329,302,255
330,302,255
331,302,255
332,302,255
333,302,255
334,302,255
335,302,255
393,302,255
394,302,255
395,302,255
396,302,255
397,302,255
413,302,255
414,302,255
418,302,255
419,302,255
420,302,255
421,302,255
422,302,255
423,302,255
424,302,255
425,302,255
426,302,255
536,302,255
540,302,255
541,302,255
542,302,255
543,302,255
544,302,255
325,303,255
326,303,255
327,303,255
395,303,255
414,303,255
415,303,255
416,303,255
417,303,255
418,303,255
422,303,255
426,303,255
492,303,255
493,303,255
494,303,255
495,303,255
496,303,255
497,303,255
529,303,255
530,303,255
531,303,255
532,303,255
533,303,255
534,303,255
535,303,255
536,303,255
544,303,255
323,304,255
324,304,255
325,304,255
417,304,255
418,304,255
426,304,255
427,304,255
481,304,255
482,304,255
483,304,255
484,304,255
485,304,255
492,304,255
497,304,255
498,304,255
499,304,255
500,304,255
501,304,255
502,304,255
503,304,255
504,304,255
505,304,255
506,304,255
507,304,255
508,304,255
522,304,255
523,304,255
524,304,255
525,304,255
526,304,255
527,304,255
528,304,255
529,304,255
534,304,255
535,304,255
544,304,255
545,304,255
546,304,255
547,304,255
551,304,255
552,304,255
553,304,255
554,304,255
555,304,255
556,304,255
557,304,255
314,305,255
315,305,255
316,305,255
317,305,255
318,305,255
319,305,255
320,305,255
321,305,255
322,305,255
323,305,255
417,305,255
427,305,255
428,305,255
429,305,255
430,305,255
431,305,255
450,305,255
451,305,255
452,305,255
453,305,255
454,305,255
455,305,255
481,305,255
485,305,255
487,305,255
488,305,255
489,305,255
490,305,255
491,305,255
492,305,255
508,305,255
509,305,255
510,305,255
511,305,255
512,305,255
522,305,255
527,305,255
528,305,255
534,305,255
547,305,255
548,305,255
549,305,255
550,305,255
551,305,255
557,305,255
309,306,255
310,306,255
311,306,255
312,306,255
313,306,255
314,306,255
319,306,255
431,306,255
447,306,255
448,306,255
449,306,255
450,306,255
455,306,255
456,306,255
457,306,255
458,306,255
459,306,255
480,306,255
481,306,255
485,306,255
487,306,255
512,306,255
513,306,255
514,306,255
515,306,255
516,306,255
517,306,255
518,306,255
519,306,255
520,306,255
521,306,255
522,306,255
527,306,255
528,306,255
534,306,255
557,306,255
558,306,255
559,306,255
560,306,255
561,306,255
562,306,255
564,306,255
565,306,255
566,306,255
567,306,255
568,306,255
569,306,255
299,307,255
300,307,255
301,307,255
302,307,255
303,307,255
304,307,255
306,307,255
307,307,255
308,307,255
309,307,255
431,307,255
432,307,255
434,307,255
435,307,255
436,307,255
437,307,255
438,307,255
439,307,255
445,307,255
446,307,255
447,307,255
455,307,255
459,307,255
460,307,255
461,307,255
480,307,255
485,307,255
486,307,255
487,307,255
512,307,255
513,307,255
519,307,255
527,307,255
534,307,255
562,307,255
563,307,255
564,307,255
569,307,255
570,307,255
295,308,255
296,308,255
297,308,255
298,308,255
299,308,255
304,308,255
305,308,255
306,308,255
432,308,255
433,308,255
434,308,255
439,308,255
441,308,255
442,308,255
443,308,255
444,308,255
445,308,255
461,308,255
462,308,255
463,308,255
469,308,255
470,308,255
471,308,255
472,308,255
473,308,255
474,308,255
475,308,255
480,308,255
570,308,255
295,309,255
439,309,255
441,309,255
463,309,255
464,309,255
465,309,255
466,309,255
467,309,255
468,309,255
469,309,255
475,309,255
480,309,255
570,309,255
291,310,255
292,310,255
293,310,255
294,310,255
295,310,255
439,310,255
440,310,255
441,310,255
465,310,255
475,310,255
476,310,255
477,310,255
478,310,255
480,310,255
570,310,255
571,310,255
291,311,255
441,311,255
478,311,255
479,311,255
480,311,255
