X,Y,Value
944,409,255
945,409,255
946,409,255
947,409,255
948,409,255
942,410,255
943,410,255
944,410,255
948,410,255
967,410,255
968,410,255
969,410,255
970,410,255
971,410,255
972,410,255
942,411,255
948,411,255
949,411,255
960,411,255
961,411,255
962,411,255
963,411,255
964,411,255
965,411,255
966,411,255
967,411,255
972,411,255
935,412,255
936,412,255
937,412,255
938,412,255
939,412,255
941,412,255
942,412,255
949,412,255
950,412,255
951,412,255
952,412,255
953,412,255
954,412,255
960,412,255
972,412,255
931,413,255
932,413,255
933,413,255
934,413,255
935,413,255
939,413,255
940,413,255
941,413,255
950,413,255
954,413,255
955,413,255
956,413,255
957,413,255
958,413,255
959,413,255
960,413,255
972,413,255
973,413,255
974,413,255
975,413,255
976,413,255
987,413,255
988,413,255
989,413,255
990,413,255
991,413,255
992,413,255
915,414,255
916,414,255
917,414,255
918,414,255
919,414,255
929,414,255
930,414,255
931,414,255
976,414,255
977,414,255
986,414,255
987,414,255
992,414,255
913,415,255
914,415,255
915,415,255
919,415,255
920,415,255
921,415,255
922,415,255
923,415,255
924,415,255
925,415,255
926,415,255
927,415,255
928,415,255
929,415,255
977,415,255
978,415,255
979,415,255
980,415,255
986,415,255
992,415,255
912,416,255
913,416,255
921,416,255
922,416,255
927,416,255
980,416,255
986,416,255
992,416,255
906,417,255
907,417,255
908,417,255
909,417,255
910,417,255
911,417,255
912,417,255
922,417,255
980,417,255
981,417,255
986,417,255
992,417,255
905,418,255
906,418,255
910,418,255
911,418,255
981,418,255
982,418,255
983,418,255
984,418,255
985,418,255
986,418,255
992,418,255
993,418,255
994,418,255
995,418,255
996,418,255
905,419,255
984,419,255
996,419,255
903,420,255
904,420,255
905,420,255
996,420,255
997,420,255
998,420,255
999,420,255
1000,420,255
1001,420,255
1002,420,255
900,421,255
901,421,255
902,421,255
903,421,255
1002,421,255
900,422,255
1002,422,255
889,423,255
890,423,255
891,423,255
892,423,255
893,423,255
894,423,255
895,423,255
896,423,255
897,423,255
898,423,255
899,423,255
900,423,255
1002,423,255
888,424,255
889,424,255
898,424,255
899,424,255
1002,424,255
1003,424,255
