 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:2/5 z:40/85 - Series007,108.08,141.77,44.02,0.80,1.32,0.75,0.94
2,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:2/5 z:40/85 - Series007,75.86,158.23,43.82,0.75,1.73,0.58,0.94
3,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:2/5 z:40/85 - Series007,166.26,174.89,51.12,0.72,1.27,0.79,0.92
4,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:2/5 z:40/85 - Series007,55.90,188.37,49.62,0.76,1.15,0.87,0.92
5,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:2/5 z:40/85 - Series007,77.18,195.45,54.48,0.83,1.26,0.79,0.94
6,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:2/5 z:40/85 - Series007,139.88,192.27,66.17,0.78,1.62,0.62,0.95
7,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:2/5 z:40/85 - Series007,140.00,200.55,73.98,0.67,1.43,0.70,0.90
8,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:2/5 z:40/85 - Series007,118.78,209.42,82.88,0.79,1.66,0.60,0.95
9,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:2/5 z:40/85 - Series007,33.96,196.64,85.37,0.31,1.46,0.69,0.80
10,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:2/5 z:40/85 - Series007,92.15,219.74,88.69,0.85,1.19,0.84,0.96
11,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:2/5 z:40/85 - Series007,100.14,215.94,96.91,0.77,1.52,0.66,0.94
12,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:2/5 z:40/85 - Series007,54.10,206.61,103.04,0.76,1.22,0.82,0.93
13,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:2/5 z:40/85 - Series007,34.68,213.25,103.89,0.73,1.32,0.76,0.91
14,MASK_SHEF6N2_D3N20-3dE_G3_DAPI_Factin-488_Bry-568_Sox2-647.lif - Series007:c:2/5 z:40/85 - Series007,127.37,203.07,112.26,0.53,1.05,0.95,0.85
