 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:71/128 - Series001,83.42,128.59,242.98,0.60,1.51,0.66,0.91
2,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:71/128 - Series001,87.67,146.98,244.61,0.44,1.32,0.76,0.87
3,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:71/128 - Series001,95.72,235.66,260.43,0.77,1.40,0.71,0.95
4,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:71/128 - Series001,46.34,167.41,263.18,0.52,1.13,0.89,0.83
5,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:71/128 - Series001,35.40,189.39,265.40,0.43,1.61,0.62,0.80
6,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:71/128 - Series001,124.57,153.37,268.87,0.48,1.27,0.79,0.90
7,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:71/128 - Series001,78.86,209.85,284.71,0.37,1.71,0.59,0.84
8,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:71/128 - Series001,72.27,162.84,284.76,0.67,1.60,0.62,0.91
9,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:71/128 - Series001,86.50,176.53,286.73,0.56,1.79,0.56,0.89
10,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:71/128 - Series001,60.92,235.15,291.10,0.82,1.22,0.82,0.94
11,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:71/128 - Series001,32.68,183.87,290.10,0.37,1.07,0.93,0.76
12,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:71/128 - Series001,32.43,195.99,289.94,0.38,1.44,0.69,0.78
13,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:71/128 - Series001,78.89,212.27,299.29,0.81,1.34,0.75,0.95
14,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:71/128 - Series001,44.47,229.64,299.15,0.60,1.25,0.80,0.87
