Curvature_Midpoint,Day,Frequency
0.436,Slice 71,16
0.436,Slice 83,5
0.5065,Slice 71,9
0.5065,Slice 83,3
0.5760000000000001,Slice 71,6
0.5760000000000001,Slice 83,3
0.6455,Slice 71,4
0.6455,Slice 83,1
0.7150000000000001,Slice 71,3
0.7150000000000001,Slice 83,3
0.7845,Slice 71,3
0.7845,Slice 83,0
0.8534999999999999,Slice 71,4
0.8534999999999999,Slice 83,1
0.923,Slice 71,0
0.923,Slice 83,3
0.9924999999999999,Slice 71,0
0.9924999999999999,Slice 83,0
1.0619999999999998,Slice 71,1
1.0619999999999998,Slice 83,0
1.1315,Slice 71,2
1.1315,Slice 83,0
1.201,Slice 71,1
1.201,Slice 83,0
1.2705,Slice 71,1
1.2705,Slice 83,1
1.3395000000000001,Slice 71,1
1.3395000000000001,Slice 83,1
1.409,Slice 71,3
1.409,Slice 83,3
1.4785,Slice 71,2
1.4785,Slice 83,0
1.548,Slice 71,0
1.548,Slice 83,0
1.6175,Slice 71,2
1.6175,Slice 83,2
1.6869999999999998,Slice 71,0
1.6869999999999998,Slice 83,0
1.7565,Slice 71,1
1.7565,Slice 83,0
1.826,Slice 71,2
1.826,Slice 83,1
1.8955,Slice 71,2
1.8955,Slice 83,1
1.9645000000000001,Slice 71,0
1.9645000000000001,Slice 83,3
2.034,Slice 71,0
2.034,Slice 83,0
2.1035,Slice 71,0
2.1035,Slice 83,0
2.173,Slice 71,2
2.173,Slice 83,0
2.2425,Slice 71,1
2.2425,Slice 83,0
2.3120000000000003,Slice 71,0
2.3120000000000003,Slice 83,2
2.3815,Slice 71,1
2.3815,Slice 83,3
2.451,Slice 71,2
2.451,Slice 83,2
