Curvature_Midpoint,Day,Frequency
0.4225,Day 2,0
0.4225,Day 3,19
0.497,Day 2,0
0.497,Day 3,20
0.5705,Day 2,0
0.5705,Day 3,61
0.644,Day 2,0
0.644,Day 3,33
0.718,Day 2,0
0.718,Day 3,14
0.7915,Day 2,2
0.7915,Day 3,17
0.865,Day 2,8
0.865,Day 3,13
0.9385,Day 2,13
0.9385,Day 3,12
1.012,Day 2,9
1.012,Day 3,6
1.0855000000000001,Day 2,10
1.0855000000000001,Day 3,9
1.159,Day 2,2
1.159,Day 3,9
1.2325,Day 2,3
1.2325,Day 3,9
1.306,Day 2,0
1.306,Day 3,6
1.3795,Day 2,0
1.3795,Day 3,12
1.4529999999999998,Day 2,0
1.4529999999999998,Day 3,7
1.5265,Day 2,0
1.5265,Day 3,10
1.6,Day 2,0
1.6,Day 3,9
1.6735,Day 2,0
1.6735,Day 3,10
1.7469999999999999,Day 2,0
1.7469999999999999,Day 3,11
1.8205,Day 2,0
1.8205,Day 3,15
1.8940000000000001,Day 2,0
1.8940000000000001,Day 3,3
1.968,Day 2,0
1.968,Day 3,3
2.0415,Day 2,0
2.0415,Day 3,0
2.115,Day 2,0
2.115,Day 3,2
2.1885000000000003,Day 2,0
2.1885000000000003,Day 3,3
2.262,Day 2,0
2.262,Day 3,1
2.3354999999999997,Day 2,0
2.3354999999999997,Day 3,4
2.409,Day 2,0
2.409,Day 3,2
2.4825,Day 2,0
2.4825,Day 3,0
2.556,Day 2,0
2.556,Day 3,3
