 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,77.40,154.45,83.70,0.36,1.23,0.81,0.87
2,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,58.76,180.72,86.95,0.48,1.17,0.86,0.88
3,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,162.09,170.38,97.60,0.54,1.14,0.88,0.91
4,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,112.65,157.63,98.15,0.65,1.45,0.69,0.93
5,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,51.85,180.46,101.21,0.57,1.42,0.70,0.89
6,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,141.49,152.98,107.63,0.47,1.71,0.58,0.89
7,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,58.89,134.42,104.23,0.41,1.31,0.76,0.85
8,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,66.47,197.93,105.58,0.50,1.14,0.88,0.88
9,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,144.41,187.15,112.44,0.33,1.26,0.79,0.86
10,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,41.11,196.49,112.57,0.54,1.14,0.88,0.87
11,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,91.32,149.20,120.66,0.45,1.39,0.72,0.83
12,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,45.23,177.51,119.66,0.35,1.30,0.77,0.79
13,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,218.70,210.46,125.58,0.40,1.31,0.76,0.86
14,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,39.14,128.07,120.85,0.65,1.49,0.67,0.89
15,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,86.18,139.02,122.93,0.59,1.29,0.78,0.90
16,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,88.31,195.44,129.23,0.34,1.69,0.59,0.81
17,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,155.18,230.58,130.23,0.44,1.41,0.71,0.90
18,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,134.49,132.64,130.91,0.39,1.29,0.78,0.88
19,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,88.37,218.04,137.78,0.23,1.62,0.62,0.79
20,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,121.78,126.65,140.39,0.67,1.20,0.83,0.93
21,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,30.24,233.46,140.02,0.52,1.21,0.82,0.82
22,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,36.07,228.67,142.49,0.43,1.72,0.58,0.84
23,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,47.73,224.44,145.95,0.38,1.50,0.67,0.81
24,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,52.14,132.83,148.17,0.33,1.96,0.51,0.83
25,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:1/5 z:63/128 - Series001,123.39,241.99,154.16,0.36,1.33,0.75,0.86
