 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,71.57,124.97,231.27,0.31,1.47,0.68,0.83
2,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,90.78,128.60,243.17,0.64,1.59,0.63,0.92
3,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,43.68,110.59,250.25,0.55,1.47,0.68,0.89
4,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,55.56,238.23,259.38,0.71,1.34,0.75,0.90
5,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,45.93,125.39,261.28,0.54,1.43,0.70,0.86
6,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,74.04,188.18,263.09,0.58,1.40,0.71,0.91
7,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,118.26,180.65,268.21,0.70,1.72,0.58,0.94
8,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,133.63,155.73,267.81,0.79,1.40,0.71,0.95
9,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,45.52,169.74,278.34,0.34,1.69,0.59,0.77
10,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,95.44,177.35,281.92,0.81,1.20,0.84,0.95
11,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,97.56,153.82,282.78,0.83,1.30,0.77,0.95
12,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,86.75,163.66,284.45,0.73,1.63,0.62,0.94
13,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,106.69,216.50,290.52,0.55,1.34,0.75,0.86
14,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,107.48,196.97,291.07,0.82,1.46,0.68,0.96
15,MASK_05032025_Shef6WT_D3_Ctrl-3dE_DAPI_Factin-488_Bry-568_Sox2-647.lif:c:2/5 z:64/128 - Series001,84.76,184.07,292.52,0.66,1.49,0.67,0.93
