 ,Area,Mean,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,62.63,255,76.34,60.94,11.52,6.92,118.64,0.42,1.66,0.60,0.82
2,53.18,255,75.41,59.41,9.04,7.49,81.76,0.75,1.21,0.83,0.92
3,41.09,255,57.96,62.47,7.80,6.70,14.17,0.53,1.16,0.86,0.85
4,99.05,255,76.89,60.78,12.95,9.74,109.04,0.71,1.33,0.75,0.92
5,46.31,255,57.79,62.48,7.96,7.40,163.17,0.57,1.08,0.93,0.87
6,59.94,255,70.31,46.06,9.53,8.01,39.59,0.61,1.19,0.84,0.88
7,34.94,255,57.93,50.05,7.33,6.07,32.38,0.70,1.21,0.83,0.89
8,100.66,255,76.98,60.78,13.05,9.82,108.95,0.63,1.33,0.75,0.91
9,46.41,255,57.61,62.33,7.86,7.52,2.81,0.45,1.05,0.96,0.83
10,43.47,255,77.71,74.37,7.80,7.10,152.20,0.67,1.10,0.91,0.88
11,34.55,255,68.97,81.57,6.71,6.55,129.02,0.59,1.02,0.98,0.88
12,62.12,255,70.12,46.22,9.93,7.96,14.17,0.54,1.25,0.80,0.83
13,95.12,255,77.22,60.63,12.94,9.36,108.70,0.48,1.38,0.72,0.88
14,46.68,255,57.60,62.17,8.24,7.21,29.35,0.48,1.14,0.88,0.81
15,64.28,255,77.35,74.39,9.60,8.52,142.21,0.76,1.13,0.89,0.92
16,47.30,255,69.10,81.79,8.11,7.43,152.94,0.84,1.09,0.92,0.95
17,60.56,255,70.07,46.32,9.75,7.91,17.23,0.66,1.23,0.81,0.89
18,71.81,255,78.05,61.24,11.35,8.06,88.23,0.59,1.41,0.71,0.88
19,47.40,255,87.56,69.09,8.81,6.85,87.19,0.53,1.29,0.78,0.82
20,75.42,255,77.28,74.50,10.54,9.11,138.21,0.78,1.16,0.86,0.94
21,52.37,255,69.09,81.89,8.70,7.67,147.21,0.85,1.13,0.88,0.96
22,66.85,255,66.61,42.00,9.53,8.93,119.28,0.49,1.07,0.94,0.87
